mca_registration,gstin,cin,iso_certification,pan_number,tan_number,msme_registration,shop_license,import_export_code,professional_tax,website_quality,domain_age,ssl_certificate,linkedin_profile,glassdoor_reviews,employee_count,turnover,contact_number,office_address,epf_registration,website_quality_dup,email_domain,linkedin_activity,scam_reports,job_platform,salary_realism,upfront_payment,description_quality,interview_process,comm_channels,has_company_logo,has_questions,social_media,employee_reviews,physical_address,epf_registration_dup,fssai_license,sebi_approval,description,fraudulent
No,None,No,None,None,No,Yes,Yes,None,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Excellent,Yahoo,Active,Few,Telegram,Realistic,Yes,Good,Video,Call,No,Has Questions,Active,Positive,Present,No,None,Yes,Looking for software engineer with 2+ years experience in python and django,0
None,No,No,Yes,No,None,None,Yes,No,None,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Company Domain,Active,None,Naukri,Low,No,Average,In-Person,Call,No,Has Questions,Inactive,None,Present,Yes,Yes,None,Job opening in finance. CA preferred. Salary competitive,0
Yes,None,None,No,No,None,Yes,No,None,None,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Inactive,Few,LinkedIn,Realistic,No,Average,Video,Call,No,Has Questions,Active,Negative,None,Yes,No,Yes,Hiring marketing executive with good comm skills and sales experience,0
Yes,No,No,Yes,No,No,Yes,No,None,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Yahoo,Inactive,Many,Indeed,Realistic,No,Good,Video,Email,No,Has Questions,Inactive,Positive,Present,No,Yes,None,Job opening in finance. CA preferred. Salary competitive,0
No,None,Yes,None,Yes,Yes,None,Yes,Yes,Yes,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Good,Company Domain,Inactive,Many,LinkedIn,Low,No,Average,Phone,Telegram,Yes,Has Questions,Inactive,None,None,Yes,Yes,Yes,Looking for software engineer with 2+ years experience in python and django,1
No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Excellent,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Excellent,Yahoo,Inactive,Few,Indeed,Realistic,Yes,Good,In-Person,Email,No,Has Questions,Active,None,Present,Yes,No,No,Urgent requirement for developer. Apply now with resume,1
No,Yes,Yes,No,No,Yes,None,No,Yes,No,Good,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Good,Outlook,Active,Few,Naukri,Realistic,No,Average,Phone,Email,No,Has Questions,Inactive,Positive,None,No,None,None,Frontend developer required - html css js,1
Yes,Yes,No,None,No,Yes,No,Yes,None,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Inactive,Few,Naukri,Realistic,No,Poor,Phone,Telegram,No,Has Questions,Inactive,Negative,None,Yes,None,No,Frontend developer required - html css js,0
None,No,No,Yes,No,No,None,None,No,None,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,No,Average,Gmail,Inactive,Many,Indeed,Realistic,No,Average,Phone,WhatsApp,No,Has Questions,Active,Positive,Present,No,None,No,Hiring marketing executive with good comm skills and sales experience,0
Yes,Yes,Yes,Yes,Yes,No,None,No,No,Yes,Average,1 year,Valid SSL,https://linkedin.example,Good,50,10L,1234567890,Some Address,Yes,Average,Company Domain,Active,Many,Telegram,Low,No,Poor,Phone,Telegram,No,Has Questions,Active,Positive,None,Yes,Yes,No,Urgent requirement for developer. Apply now with resume,0
